time,round_date,date_time,turbidity_clearwell_ntu
16:00:00,2018-03-12,"2018-03-12 16:00:00",0.0500
18:00:00,2018-03-12,"2018-03-12 18:00:00",0.0500
21:00:00,2018-03-12,"2018-03-12 21:00:00",0.0500
23:00:00,2018-03-12,"2018-03-12 23:00:00",0.0500
02:00:00,2018-03-13,"2018-03-13 02:00:00",0.0500
04:00:00,2018-03-13,"2018-03-13 04:00:00",0.0500
07:00:00,2018-03-13,"2018-03-13 07:00:00",0.0500
11:00:00,2018-03-13,"2018-03-13 11:00:00",0.0500
15:00:00,2018-03-13,"2018-03-13 15:00:00",0.0500
18:00:00,2018-03-13,"2018-03-13 18:00:00",0.0500
20:00:00,2018-03-13,"2018-03-13 20:00:00",0.0500
23:00:00,2018-03-13,"2018-03-13 23:00:00",0.0500
01:00:00,2018-03-14,"2018-03-14 01:00:00",0.0500
04:00:00,2018-03-14,"2018-03-14 04:00:00",0.0500
07:00:00,2018-03-14,"2018-03-14 07:00:00",0.0500
10:00:00,2018-03-14,"2018-03-14 10:00:00",0.0500
13:00:00,2018-03-14,"2018-03-14 13:00:00",0.0600
16:00:00,2018-03-14,"2018-03-14 16:00:00",0.0500
20:00:00,2018-03-14,"2018-03-14 20:00:00",0.0400
23:00:00,2018-03-14,"2018-03-14 23:00:00",0.0400
02:00:00,2018-03-15,"2018-03-15 02:00:00",0.0400
04:00:00,2018-03-15,"2018-03-15 04:00:00",0.0400
07:00:00,2018-03-15,"2018-03-15 07:00:00",0.0500
10:00:00,2018-03-15,"2018-03-15 10:00:00",0.0400
13:00:00,2018-03-15,"2018-03-15 13:00:00",0.0400
15:00:00,2018-03-15,"2018-03-15 15:00:00",0.0400
18:00:00,2018-03-15,"2018-03-15 18:00:00",0.0400
20:00:00,2018-03-15,"2018-03-15 20:00:00",0.0400
23:00:00,2018-03-15,"2018-03-15 23:00:00",0.0400
03:00:00,2018-03-16,"2018-03-16 03:00:00",0.0400
05:00:00,2018-03-16,"2018-03-16 05:00:00",0.0400
08:00:00,2018-03-16,"2018-03-16 08:00:00",0.0500
11:00:00,2018-03-16,"2018-03-16 11:00:00",0.0500
14:00:00,2018-03-16,"2018-03-16 14:00:00",0.0500
17:00:00,2018-03-16,"2018-03-16 17:00:00",0.0500
19:00:00,2018-03-16,"2018-03-16 19:00:00",0.0400
21:00:00,2018-03-16,"2018-03-16 21:00:00",0.0400
23:00:00,2018-03-16,"2018-03-16 23:00:00",0.0400
02:00:00,2018-03-17,"2018-03-17 02:00:00",0.0400
04:00:00,2018-03-17,"2018-03-17 04:00:00",0.0400
07:00:00,2018-03-17,"2018-03-17 07:00:00",0.0400
10:00:00,2018-03-17,"2018-03-17 10:00:00",0.0400
14:00:00,2018-03-17,"2018-03-17 14:00:00",0.0400
17:00:00,2018-03-17,"2018-03-17 17:00:00",0.0400
20:00:00,2018-03-17,"2018-03-17 20:00:00",0.0400
23:00:00,2018-03-17,"2018-03-17 23:00:00",0.0400
01:00:00,2018-03-18,"2018-03-18 01:00:00",0.0400
04:00:00,2018-03-18,"2018-03-18 04:00:00",0.0400
07:00:00,2018-03-18,"2018-03-18 07:00:00",0.0400
10:00:00,2018-03-18,"2018-03-18 10:00:00",0.0500
14:00:00,2018-03-18,"2018-03-18 14:00:00",0.0400
17:00:00,2018-03-18,"2018-03-18 17:00:00",0.0400
21:00:00,2018-03-18,"2018-03-18 21:00:00",0.0400
23:00:00,2018-03-18,"2018-03-18 23:00:00",0.0400
01:00:00,2018-03-19,"2018-03-19 01:00:00",0.0500
04:00:00,2018-03-19,"2018-03-19 04:00:00",0.0400
08:00:00,2018-03-19,"2018-03-19 08:00:00",0.0500
11:00:00,2018-03-19,"2018-03-19 11:00:00",0.0500
13:00:00,2018-03-19,"2018-03-19 13:00:00",0.0500
15:00:00,2018-03-19,"2018-03-19 15:00:00",0.0500
18:00:00,2018-03-19,"2018-03-19 18:00:00",0.0400
20:00:00,2018-03-19,"2018-03-19 20:00:00",0.0400
23:00:00,2018-03-19,"2018-03-19 23:00:00",0.0400
02:00:00,2018-03-20,"2018-03-20 02:00:00",0.0400
05:00:00,2018-03-20,"2018-03-20 05:00:00",0.0400
