"Storet Code","Description","Result","Units","Qualifier","MCL","MCL Units","Limit of Quantitation","Limit of Detection","Labslip Order"
"1025","FLUORIDE","0.774","MG/L","","4","MG/L",".1",".03","1"
"1025","FLUORIDE","0.75","MG/L","Field Result","4","MG/L","","","2"
