"Storet Code","Description","Result","Units","Qualifier","MCL","MCL Units","Limit of Quantitation","Limit of Detection","Labslip Order"
"1025","FLUORIDE","0.82","MG/L","Field Result","4","MG/L","","","1"
"1025","FLUORIDE","0.758","MG/L","","4","MG/L",".1",".03","2"
